longitude,latitude,noisedB,seconds
27.0903281,93.6254792,86.28923035,1610437678
27.0903412,93.6254338,86.28923035,1610437678
27.09035,93.6253928,86.28923035,1610437678
27.0903591,93.6253484,86.28923035,1610437678
27.0903681,93.6252729,86.28923035,1610437678
27.0903666,93.6252329,86.28923035,1610437678
27.0903673,93.6252018,86.28923035,1610437678
27.0903747,93.6251702,86.28923035,1610437678
27.0903896,93.6251455,86.28923035,1610437678
27.0904043,93.6251284,86.28923035,1610437678
27.0904274,93.6251139,86.28923035,1610437678
27.0904439,93.6251141,86.28923035,1610437678
27.090465,93.6251243,86.28923035,1610437678
27.0904983,93.6251882,86.28923035,1610437678
27.0905248,93.6252773,86.28923035,1610437678
27.0905817,93.6255746,86.28923035,1610437678
27.0906838,93.6260236,86.28923035,1610437678
27.0906989,93.6264442,86.28923035,1610437678
27.0904716,93.6267153,86.28923035,1610437678
27.0901728,93.6268879,86.28923035,1610437678
27.0901154,93.6273022,86.28923035,1610437678
27.0900956,93.6274184,86.28923035,1610437678
27.0900956,93.6274184,86.28923035,1610437678
27.0900855,93.6274743,86.28923035,1610437678
27.0900855,93.6274743,86.28923035,1610437678
27.0900728,93.6275263,86.28923035,1610437678
27.0900728,93.6275263,86.28923035,1610437678
27.0900555,93.6275761,86.28923035,1610437678
27.0900352,93.6276278,86.28923035,1610437678
27.090008,93.6276802,86.28923035,1610437678
27.0899263,93.6277674,86.28923035,1610437678
27.0899263,93.6277674,86.28923035,1610437678
27.0898849,93.6278098,86.28923035,1610437678
27.0898321,93.6278603,86.28923035,1610437678
27.0897844,93.6278802,86.28923035,1610437678
27.0897277,93.6279003,86.28923035,1610437678
27.0896642,93.6279193,86.28923035,1610437678
27.0896041,93.6279369,86.28923035,1610437678
27.0895432,93.6279544,86.28923035,1610437678
27.0894839,93.6279734,86.28923035,1610437678
27.0894357,93.628,86.28923035,1610437678
27.0893908,93.6280352,86.28923035,1610437678
27.08932,93.6281325,86.28923035,1610437678
27.08932,93.6281325,86.28923035,1610437678
27.0893009,93.6281869,86.28923035,1610437678
27.0892979,93.6282392,86.28923035,1610437678
27.0893274,93.6283282,86.28923035,1610437678
27.08936,93.628371,86.28923035,1610437678
27.0893904,93.6284022,86.28923035,1610437678
27.0894171,93.628426,86.28923035,1610437678
27.0894952,93.6284676,86.28923035,1610437678
27.0895271,93.6284724,86.28923035,1610437678
27.08957,93.6284816,86.28923035,1610437678
27.0896086,93.628487,86.28923035,1610437678
27.0896533,93.6284907,86.28923035,1610437678
27.0896999,93.6284947,86.28923035,1610437678
27.0896999,93.6284947,86.28923035,1610437678
27.0897364,93.6284977,86.28923035,1610437678
27.0897586,93.6285042,86.28923035,1610437678
27.0897803,93.6285135,86.28923035,1610437678
27.0897988,93.6285266,86.28923035,1610437678
27.0898199,93.6285414,86.28923035,1610437678
27.0898399,93.6285606,86.28923035,1610437678
27.0898554,93.6285831,86.28923035,1610437678
27.0898726,93.6286088,86.28923035,1610437678
27.0898998,93.6286432,86.28923035,1610437678
27.0899271,93.6286682,86.28923035,1610437678
27.0902892,93.6287436,86.28923035,1610437678
27.090587,93.6289457,86.28923035,1610437678
27.0905192,93.6293399,86.28923035,1610437678
27.0904405,93.6296755,86.28923035,1610437678
27.0908538,93.6296913,86.28923035,1610437678
27.0912045,93.6296167,86.28923035,1610437678
27.0912454,93.629514,86.28923035,1610437678
27.0912632,93.6294475,86.28923035,1610437678
27.0912632,93.6294475,86.28923035,1610437678
27.091276,93.6293792,86.28923035,1610437678
27.091276,93.6293792,86.28923035,1610437678
27.0912812,93.6293083,86.28923035,1610437678
27.091282,93.6292376,86.28923035,1610437678
27.091282,93.6292376,86.28923035,1610437678
27.0912873,93.6291657,86.28923035,1610437678
27.0912971,93.6290953,86.28923035,1610437678
27.0912971,93.6290953,86.28923035,1610437678
27.0913163,93.6290312,86.28923035,1610437678
27.0913163,93.6290312,86.28923035,1610437678
27.0913446,93.6289775,86.28923035,1610437678
27.0913823,93.628931,86.28923035,1610437678
27.0913823,93.628931,86.28923035,1610437678
27.0914236,93.6288958,86.28923035,1610437678
27.0914674,93.6288772,86.28923035,1610437678
27.0914997,93.6288788,86.28923035,1610437678
27.0914997,93.6288788,86.28923035,1610437678
27.0915513,93.6288828,86.28923035,1610437678
27.0915513,93.6288828,86.28923035,1610437678
27.0915988,93.6289029,86.28923035,1610437678
27.0916373,93.6289283,86.28923035,1610437678
27.0916373,93.6289283,86.28923035,1610437678
27.0916649,93.6289546,86.28923035,1610437678
27.0916649,93.6289546,86.28923035,1610437678
27.0917015,93.6289877,86.28923035,1610437678
27.0917015,93.6289877,86.28923035,1610437678
27.0917477,93.6290295,86.28923035,1610437678
27.0917477,93.6290295,86.28923035,1610437678
27.0917781,93.6290425,86.28923035,1610437678
27.0917781,93.6290425,86.28923035,1610437678
27.09181,93.6290459,86.28923035,1610437678
27.09181,93.6290459,86.28923035,1610437678
27.091903,93.629036,86.28923035,1610437678
27.091903,93.629036,86.28923035,1610437678
27.0919468,93.6290157,86.28923035,1610437678
27.0919778,93.6289907,86.28923035,1610437678
27.092003,93.6289559,86.28923035,1610437678
27.0920167,93.6289185,86.28923035,1610437678
27.0920299,93.6288649,86.28923035,1610437678
27.0920435,93.6288052,86.28923035,1610437678
27.0920435,93.6288052,86.28923035,1610437678
27.0920514,93.6287504,86.28923035,1610437678
27.0920588,93.628687,86.28923035,1610437678
27.0920672,93.6286362,86.28923035,1610437678
27.092082,93.6285878,86.28923035,1610437678
27.0920986,93.6285511,86.28923035,1610437678
27.0921328,93.6285003,86.28923035,1610437678
27.0921485,93.6284821,86.28923035,1610437678
27.0921614,93.6284707,86.28923035,1610437678
27.0921746,93.628456,86.28923035,1610437678
27.0921746,93.628456,86.28923035,1610437678
27.0921829,93.6284424,86.28923035,1610437678
27.0921942,93.6284219,86.28923035,1610437678
27.0922072,93.6283967,86.28923035,1610437678
27.0922221,93.6283649,86.28923035,1610437678
27.0922382,93.6283431,86.28923035,1610437678
27.0922593,93.6283204,86.28923035,1610437678
27.092285,93.6283052,86.28923035,1610437678
27.0923191,93.6282975,86.28923035,1610437678
27.0923474,93.6283059,86.28923035,1610437678
27.0923699,93.628328,86.28923035,1610437678
27.0923846,93.628355,86.28923035,1610437678
27.0924278,93.6285179,86.83417511,1610437687
27.0924348,93.6285597,86.83417511,1610437687
